CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID             ,PARTNAME           ,BOARDNAME                        ,SHORTNAME      ,ZYNQFLASHTYP     ,FPGAFLASHTYP                           ,PCB_REV      ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE ,OTHERS      ,NOTES                                  ,DESIGN
1   ,TE0726-01          ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:1.0  ,01_64MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV01        ,64MB     ,16MB       ,NA        ,NA          ,NA                                     ,TE0726
2   ,TE0726-03R         ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:2.1  ,r_128MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,128MB    ,16MB       ,NA        ,NA          ,"LPDDR3, without ETH,USB,Camera,HDMI"  ,TE0726
3   ,TE0726-03M         ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:3.1  ,m_512MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
4   ,TE0726-03-07S-1C   ,xc7z007sclg225-1  ,trenz.biz:te0726_7s_1c:part0:3.1  ,7s_512MB       ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
5   ,TE0726-03RJ        ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:2.1  ,r_128MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,128MB    ,16MB       ,NA        ,NA          ,"LPDDR3, without ETH,USB,Camera,HDMI"  ,TE0726
6   ,TE0726-03-41C74-Q  ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:2.1  ,r_128MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,128MB    ,16MB       ,NA        ,NA          ,"LPDDR3,Customised"                    ,TE0726
7   ,TE0726-03-41C74-R  ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:2.1  ,r_128MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,128MB    ,16MB       ,NA        ,NA          ,"LPDDR3, without ETH,USB,Camera,HDMI"  ,TE0726
8   ,TE0726-03IM        ,xc7z010clg225-1   ,trenz.biz:te0726_10_1i:part0:3.1  ,mi_512MB       ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
9   ,TE0726-03-11C64-A  ,xc7z007sclg225-1  ,trenz.biz:te0726_7s_1c:part0:3.1  ,7s_512MB       ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
10  ,TE0726-03-41I64-A  ,xc7z010clg225-1   ,trenz.biz:te0726_10_1i:part0:3.1  ,mi_512MB       ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
11  ,TE0726-03-41C64-A  ,xc7z010clg225-1   ,trenz.biz:te0726_10_1c:part0:3.1  ,m_512MB        ,qspi-x4-single   ,s25fl128s-3.3v-qspi-x4-single|SPIx4|16 ,REV03|REV02  ,512MB    ,16MB       ,NA        ,NA          ,LPDDR3                                 ,TE0726|DEMO
